dObar	Agpmsnn	dobar
dAjemo	Vmr1p	davati
lEkovi	Ncmpn	lek
jEdno	Mlcnsn	jedan
drUgo	Agpnsny	drugi
.	Z	.

ko	Pi3m-n	ko
ostAne	Vmr3s	ostati
ako	Cs	ako
ne	Qz	ne
Ona	Pp3fsn	on
Umre	Vmr3s	umreti
i	Cc	i
gOtovo	Rgp	gotovo
.	Z	.

pOsle	Rgp	posle
su	Var3p	biti
ovI	Pd-mpn	ovaj
dvA	Mlc	dva
sIna	Ncmsg	sin
ostAli	Vmp-pm	ostati
i	Cc	i
onI	Pp3mpn	oni
.	Z	.

jedAn	Mlcmsn	jedan
u	Sl	u
lEnovac	Npmsl	lEnovac
edAn	Mlcmsn	jedan
na	Sa	na
slUžbu	Ncfsa	služba
.	Z	.

u	Sl	u
zAječar	Npmsl	zAječac
.	Z	.

ovIja	Pd-mpn	ovaj
.	Z	.

pUtevi	Ncmpn	put
što	Pi3n	što
.	Z	.

kakO	Cs	kako
kO	Pi3m-n	ko
u	Sa	u
kOlko	Pq-nsn	koliki
.	Z	.

štA	Pi3n-n	što
je	Var3s	biti
bIlo	Vcp-sn	biti
s	Si	sa
mUžem	Ncmsi	muž
.	Z	.

ap	Npmsn	AP
On	Pp3msn	on
((?))	X	((?))
.	Z	.

pa	Cc	pa
Eto	I	eto
gODina	Ncfsn	godina
dAna	Ncmsg	dan
je	Var3s	biti
bilO	Vapn	biti
do	Sg	do
Uskrs	Npmsn	Uskrs
prolEtos	Rgp	proletos
.	Z	.

kakO	Cs	kako
je	Var3s	biti
Umro	Vmp-sm	umreti
.	Z	.

a	Cc	a
sAd	Rgp	sad
štA	Pi3n-n	što
je	Var3s	biti
bilO	Vcp-sn	biti
.	Z	.

On	Pp3msn	on
nIje	Var3s	biti
tEo	Npmsn	Teo
da	Cs	da
Ide	Vmr3s	ići
kOd	Sg	kod
lEkara	Ncmsg	lekar
nIje	Var3s	biti
nIšta	Pi3n-a	ništa
.	Z	.

i	Cc	i
.	Z	.

a	Cc	a
jA	Pp1-sn	ja
sam	Var1s	biti
Išla	Vmp-sf	ići
Eto	I	eto
i	Cc	i
sAd	Rgp	sad
Idem	Vmr1s	ići
.	Z	.

pa	Cc	pa
kvO	Pi3n-n	kvo
se	Px--sa	sebe
radElo	Vmp-sn	raditi
povIje	Vmr3s	poviti
se	Px--sa	sebe
tAmo	Rgp	tamo
u	Sa	u
.	Z	.

parAmanje	Ncnsn	paramanje
u	Sa	u
kvO	Pi3n	kvo
nAjde	Vmr3s	naći
ne	Qz	ne
kao	Cs	kao
sƏd	Cs	sƏd
štO	Cs	što
je	Var3s	biti
.	Z	.

u	Sa	u
.	Z	.

pElene	Ncfpn	pelena
u	Sl	u
.	Z	.

nEgo	Cc	nego
.	Z	.

cEpimo	Vmr1p	cepiti
parAmanje	Ncfpa	paramanja
kvO	Pi-nsn	kvo
nAjdemu	Vcr3s	najdembiti
pa	Cc	pa
.	Z	.

takOj	Rgp	tako
ga	Pp3msa	on
povIjamo	Vmr1p	povijati
.	Z	.

nEsmo	Var1p	biti
tOj	Pd-nsa	taj
patIli	Vmp-pm	patiti
od	Sg	od
Oroci	Npmpn	Oroc
.	Z	.

pa	Cc	pa
.	Z	.

pa	Cc	pa
kOj	Pi3m-n	koji
znAje	Vmr3s	znati
jA	Pp1-sn	ja
ne	Qz	ne
znAm	Vmr1s	znati
nIsam	Var1s	biti
bilA	Vmp-sf	biti
ovdEkaj	Rgp	ovde
i	Cc	i
.	Z	.

i	Cc	i
belarekU	Npfsa	belarekU
i	Cc	i
gOr	Var1s	gOr
nesAm	Var1s	biti
čUla	Vmp-sf	čuti
el	Qq	jel
jA	Pp1-sn	ja
.	Z	.

bilI	Vmp-pm	biti
smo	Var1p	biti
na	Sl	na
krAju	Ncmsl	kraj
u	Sa	u
selO	Ncnsa	selo
.	Z	.

i	Cc	i
nesAm	Var1s	biti
ni	Qo	ni
Išla	Vmp-sf	ići
po	Sa	po
selO	Ncnsa	selo
onO	Pd-nsa	onaj
.	Z	.

tegAj	Rgp	tada
ne	Qz	ne
se	Px--sa	sebe
ni	Qo	ni
Išlo	Vmp-sn	ići
po	Sa	po
selO	Ncnsa	selo
.	Z	.

dObro	Rgp	dobro
.	Z	.

mhm	Qr	mhm
.	Z	.

dObro	Rgp	dobro
.	Z	.

da	Qr	da
.	Z	.

dObro	Rgp	dobro
.	Z	.

pIjem	Vmr1s	piti
kAfu	Ncfsa	kafa
pIjem	Vmr1s	piti
.	Z	.

dObro	Rgp	dobro
fAla	Mdc	fala
vi	Pp2-pn	vi
((?))	X	((?))
.	Z	.

i	Cc	i
.	Z	.

hvAla	I	hvala
.	Z	.

Ajde	I	hajde
.	Z	.

dObro	Rgp	dobro
.	Z	.

