sEdnite	Agpmpay-t	sedn
.	Z	.

čUvamo	Vmr1p	čuvati
•	X	•
Ovce	Ncfpn	ovca
paa	Cc	pa
.	Z	.

čIm	Cs	čim
sam	Var1s	biti
iz	Sg	iz
škOlu	Ncfsa	škola
iskočIla	Vmp-sf	iskočiti
počEla	Vmp-sf	početi
səm	Var1s	biti
da	Cs	da
Idem	Vmr1s	ići
u	Sa	u
nAdnicu	Ncfsa	nadnica
da	Cs	da
kOpam	Vmr1s	kopati
da	Cs	da
••	X	••
mUka	Ncfsn	muka
bIlo	Vcp-sn	biti
.	Z	.

sƏg	Rgp	sad
se	Px--sa	sebe
užIva	Vmr3s	uživati
a	Cc	a
rAnie	Ncnsn	ranie
bilO	Vapn	biti
jAko	Rgp	jako
tEško	Agpnsny	težak
•	X	•
•	X	•
jAko	Rgp	jako
jAko	Rgp	jako
.	Z	.

i	Cc	i
ovdE	Rgp	ovde
kəd	Cs	kəd
sam	Var1s	biti
došlA	Vmp-sf	doći
mUka	Ncfsn	muka
••	X	••
pOsle	Rgp	posle
i	Cc	i
.	Z	.

detE	Ncnsn	dete
mAnecko	Npmsn	mAnecko
paa	Cc	pa
•	X	•
svEkar	Ncmsn	svekar
moj	Ps1msn	moj
na	Sl	na
kRkače	Npmpa	Krkač
nOsi	Vmr3s	nositi
po	Sa	po
pOlje	Ncnsa	polje
nE	Qz	ne
imAlo	Vmp-sn	imati
vOzila	Vmp-sf	voziti
.	Z	.

svE	Pi-nsn	sav
rabOtimo	Vmr1p	rabotati
•••	X	•••
tEško	Rgp	teško
jAko	Rgp	jako
bIlo	Vmp-sn	biti
•••	X	•••
sƏg	Rgp	sad
.	Z	.

sƏg	Rgp	sad
de	Rgp	gde
pOgješ	Mdc	pogješ
svUd	Rgp	svuda
se	Px--sa	sebe
vOziš	Vmr2s	voziti
•••	X	•••
i	Cc	i
takO	Rgp	tako
e	Var3s	biti
bIlo	Vmp-sn	biti
sInence	Pi-nsn	sInence
nEdobro	Rgp	nedobro
.	Z	.

bez	Sg	bez
zdrAvje	Ncfsg	zdravja
se	Pxsa	sebe
ostAlo	Vmp-sn	ostati
bez	Sg	bez
svE	Pi-nsa	sav
••	X	••
od	Sg	od
rAbotu	Ncfsa	rabota
.	Z	.

kakO	Cs	kako
da	Cs	da
ti	Pp2-sd	ti
prIčam	Vmr1s	pričati
tI	Pp2-sn	ti
me	Pp1-sa	ja
pItaj	Vmm2s	pitati
kvO	Pd-nsn	kakav
te	Pp2-sa	ti
interesUje	Vmr3s	interesovati
.	Z	.

kAd	Cs	kad
sam	Var1s	biti
jA	Pp1-sn	ja
Išla	Vmp-sf	ići
••	X	••
Oo	I	o
•	X	•
pa	Cc	pa
kakO	Cs	kako
•	X	•
tAblica	Ncfsn	tablica
pa	Cc	pa
.	Z	.

računAljčica	Npfsn	računAljčica
