sEdnite	Agpmpay-t	sedn
se	Px--sa	sebe
tkAlo	Vmp-sn	tkati
.	Z	.

sƏd	Rgp	sad
će	Var3s	hteti
ni	Qo	ni
po	Sa	po
porAze	Ncmpa	poraz
.	Z	.

aj	I	hajde
g	Pp3msa	on
lAzano	Agpnsny	lazan
dok	Cs	dok
nE	Qz	ne
•	X	•
ispAdaj	Vmm2s	ispadati
.	Z	.

pa	Cc	pa
dObro	Rgp	dobro
.	Z	.

ispAdaj	Vmm2s	ispadati
lazAno	Agpnsny	lazaan
.	Z	.

paa	Cc	pa
ovAko	Rgp	ovako
otprilIke	Rgp	otprilike
•	X	•
pOla	Ncnsn	pola
mEtar	Ncmsn	metar
pa	Cc	pa
i	Cc	i
vIška	Agpfsny	viški
mOžda	Rgp	možda
si	Px--sd	sebe
e	Var3s	biti
bilO	Qo	bilo
.	Z	.

na	Sa	na
rAzvoj	Ncmsan	razvoj
•	X	•
na	Sa	na
stAtiva	Ncfsn	stativa
se	Px--sa	sebe
•	X	•
naprAi	Agpmsny	napra
.	Z	.

i	Cc	i
tAkoj	Rgp	tako
se	Px--sa	sebe
tkAlo	Vmp-sn	tkati
•	X	•
i	Cc	i
čaršAvi	Ncmpn	čaršav
praEni	Appmpny	praeti
.	Z	.

i	Cc	i
svE	Pi-nsa	sav
•	X	•
svE	Pi-nsn	sav
od	Sg	od
tOj	Pd-nsn	taj
se	Px--sa	sebe
mOglo	Vmp-sn	moći
se	Px--sa	sebe
naprAi	Vmr3s	napraiti
tOj	Pd-nsn	taj
plAtno	Rgp	platno
.	Z	.

al	Cc	ali
sAmo	Rgp	samo
ne	Qz	ne
da	Cs	da
se	Pxsa	sebe
sAmo	Rgp	samo
izƏtka	Pi-nsn	izƏtka
nego	Cc	nego
se	Px--sa	sebe
obEli	Vmr3s	obeliti
pa	Cc	pa
.	Z	.

pUno	Rgp	puno
.	Z	.

pAzi	Vmr3s	paziti
nemOj	Vmm2s-y	moći
da	Cs	da
pAdne	Vmr3s	pasti
stolIca	Ncfsn	stolica
na	Sa	na
tAm	Rgp	tamo
sAmo	Rgp	samo
.	Z	.

rAdišo	Qr	rAdišo
.	Z	.

nek	Qo	neka
mi	Pp1-sd	ja
ložAna	Npfsn	ložAna
nabAvi	Vmr3s	nabaviti
za	Sa	za
kakvO	Pi-nsn	kakav
bEše	Vce3s	biti
nE	Qz	ne
znam	Vmr1s	znati
•	X	•
da	Cs	da
li	Qq	li
za	Sa	za
pUjke	Npmsan	pUjke
da	Cs	da
li	Qq	li
zaa	Sa	zaa
.	Z	.

e	I	e
za	Sa	za
qUrke	Ncmsan	qurke
tƏg	Rgp	tako
mOra	Vmr3s	morati
da	Cs	da
trEba	Vmr3s	trebati
.	Z	.

sAmo	Rgp	samo
Ima	Vmr3s	imati
ednO	Ncnsa	jedan
nAčeto	Appnsny	načeti
.	Z	.

pa	Cc	pa
•	X	•
nEe	Var3s	biti
bAš	Qo	baš
tOlko	Rgp	toliko
prAeno	Mdc	praeno
širokO	Rgp	široko
.	Z	.

Edino	Npmsn	Edino
za	Sa	za
prekrivAči	Ncmpn	prekrivač
tƏd	Rgp	tad
od	Sg	od
vUnu	Ncfsa	vuna
Ono	Pd-nsn	onaj
tƏg	Rgp	tako
u	Sa	u
širokO	Rgp	široko
•	X	•
bRdo	Ncnsa	brdo
•	X	•
tƏg	Rgp	tako
••	X	••
se	Px--sa	sebe
takOj	Rgp	tako
tkAlo	Vmp-sn	tkati
.	Z	.

de	Rgp	gde
onA	Pp3fsn	on
će	Var3s	hteti
srIpi	Npmsn	srIpi
bre	I	bre
etE	I	eto
onAa	Pd-nsn	onAa
•	X	•
lƏka	Npfsn	lƏka
qe	Px--sa	qe
prOjde	Vmr3s	proći
.	Z	.

mOglo	Vmp-sn	moći
bre	I	bre
.	Z	.

kakO	Cs	kako
Oqeš	Vcr3s	oqebiti
takOj	Rgp	tako
gaa	Cs	gaa
••	X	••
za	Sa	za
čaršAvi	Ncmpn	čaršav
••	X	••
onOj	Pdsn	onaj
što	Pi3n	što
je	Var3s	biti
tEsno	Agpnsny	tesan
plAtno	Agpnsny	platni
iz	Sg	iz
trI	Mlc	tri
dEla	Ncmsg	deo
.	Z	.

zaa	Qr	zaa
.	Z	.

prekrivAči	Ncmpn	prekrivač
kəd	Vapf	kəd
je	Var3s	biti
u	Sl	u
širokO	Rgp	široko
••	X	••
bRdo	Ncnsn	brdo
onOj	Pd-nsn	onaj
tkAlo	Vmp-sn	tkati
Ono	Pd-nsn	onaj
se	Px--sa	sebe
iz	Sg	iz
dvA	Mlc	dva
dEla	Ncmsg	deo
.	Z	.

takOj	Rgp	tako
.	Z	.

takOj	Rgp	tako
bilO	Vmp-sn	biti
.	Z	.

pa	Cc	pa
i	Cc	i
od	Sg	od
pRteno	Rgp	prteno
se	Px--sa	sebe
tkAlo	Vmp-sn	tkati
i	Cc	i
od	Sg	od
vUnu	Ncfsa	vuna
se	Px--sa	sebe
tkAlo	Vmp-sn	tkati
.	Z	.

ženE	Ncfpn	žena
cEl	Vmp-sm	ceti
••	X	••
cElu	Agpfsay	ceo
zImu	Ncfsa	zima
provedU	Vmr3p	provesti
u	Sa	u
tkanjE	Ncnsa	tkanje
.	Z	.

predU	Vmr3p	presti
•	X	•
mlAde	Appfpny	mlad
predU	Vmr3p	presti
pO	Sa	po
stare	Agpmpay	star
••	X	••
tkAju	Vmr3p	tkati
.	Z	.

prekrivAči	Ncmpn	prekrivač
smo	Var1p	biti
davAli	Vmp-pm	davati
i	Cc	i
u	Sa	u
••	X	••
pIrot	Npmsn	pIrot
•	X	•
te	Pp2-sa	ti
ni	Cc	ni
tkAli	Vmp-pm	tkati
.	Z	.

u	Sa	u
dimItrov	Agpmsayn	dimitrov
grAd	Ncmsan	grad
•	X	•
ne	Qz	ne
pIrot	Pd-nsn	pIrot
•	X	•
smo	Var1p	biti
Išli	Vmp-pm	ići
.	Z	.

i	Cc	i
takOj	Rgp	tako
.	Z	.

prAeno	Z	prAeno
i	Cc	i
tOj	Pd-nsn	taj
•	X	•
tOj	Pd-nsn	taj
se	Px--sd	sebe
navIe	Px--sa	navIe
na	Sa	na
onOj	Pd-nsa	onaj
na	Sl	na
.	Z	.

na	Sa	na
vItku	Agpfsay	vitak
pa	Cc	pa
se	Px--sa	sebe
na	Sa	na
drvO	Ncnsa	drvo
•	X	•
e	I	e
ovOlko	Rgp	ovoliko
drvO	Ncnsn	drvo
pa	Cc	pa
••	X	••
se	Px--sa	sebe
promIča	Vmp-sn	promiti
.	Z	.

proz	Sa	kroz
tOj	Pd-nsn	taj
•	X	•
osnOvu	Ncfsa	osnova
tu	Rgp	tu
proz	Sa	kroz
•••	X	•••
pa	Cc	pa
se	Px--sa	sebe
tkAlo	Vmp-sn	tkati
.	Z	.

kRpine	Ncfpn	krpina
sečEmo	Vmr1p	seći
sečEmo	Vmr1p	seći
sečEmo	Vmr1p	seći
al	Cc	ali
onO	Pd-nsn	onaj
kakvO	Pi-nsn	kakav
pa	Cc	pa
imAlo	Vmp-sn	imati
kRpine	Ncfpn	krpina
tOlko	Rgp	toliko
.	Z	.

ne	Qz	ne
se	Px--sa	sebe
nosIlo	Vmp-sn	nositi
tOlko	Rgp	toliko
••	X	••
kao	Cs	kao
sƏg	Rgp	sad
mAičke	Vcp-sn	maičti
pa	Cc	pa
.	Z	.

blUzičke	Ncfpn	bluzička
pa	Cc	pa
nego	Cc	nego
•	X	•
pRtene	Agpfpny	prten
košUlje	Ncfpn	košulja
bAbe	Ncfpn	baba
•	X	•
dObro	Rgp	dobro
mI	Pp1-pn	ja
decA	Ncnpn	dete
nesmO	Var1p	biti
košUlje	Ncfsg	košulja
nosIli	Vmp-pm	nositi
.	Z	.

al	Cc	ali
sUknjice	Ncfpn	suknjica
səm	Var1s	biti
si	Px--sd	sebe
nosIla	Vmp-sf	nositi
i	Cc	i
jA	Pp1-sn	ja
.	Z	.

mAti	Ncfsn	mati
izƏtkaše	Vcr3s	izətkašbiti
Ubavo	Rgp	ubavo
pa	Cc	pa
ga	Pp3msa	on
••	X	••
Eto	I	eto
obEli	Vmr3s	obeliti
pa	Cc	pa
ga	Pp3msa	on
•	X	•
pa	Cc	pa
ni	Qo	ni
naprAi	Pi3n-n	naprAi
bOju	Ncfsa	boja
.	Z	.

i	Cc	i
takO	Rgp	tako
e	Var3s	biti
bilO	Vcp-sn	biti
.	Z	.

Ajde	I	hajde
ćAo	I	ćao
.	Z	.

kakO	Cs	kako
pRteno	Appnsny	prten
.	Z	.

po	Sl	po
ovOj	Pdsl	ovaj
pokravi	Pd-nsa	pokravi
•	X	•
mIslim	Vmr1s	misliti
pokravIce	Vmp-pm	pokraviti
smo	Var1p	biti
mI	Pp1-pn	ja
zvAli	Vmp-pm	zvati
•	X	•
pa	Cc	pa
Isto	Rgp	isto
i	Cc	i
onO	Pd-nsn	onaj
od	Sg	od
vUnu	Ncfsa	vuna
smo	Var1p	biti
i	Cc	i
od	Sg	od
pRteno	Rgp	prteno
tkAli	Vmp-pm	tkati
.	Z	.

odAvno	Rgp	odavno
tOj	Pd-nsn	taj
jA	Pp1-sn	ja
•••	X	•••
jOš	Rgp	još
nesAm	Var1s	biti
ni	Qo	ni
znAla	Vmp-sf	znati
tOlko	Rgp	toliko
kəd	Vcr3s	kəbiti
tOj	Pd-nsn	taj
prAeno	Appnsny	praiti
.	Z	.

od	Sg	od
••	X	••
od	Sg	od
onOj	Pd-nsa	onaj
što	Cs	što
kƏd	Cs	kƏd
uvlAče	Vmr3p	uvlačiti
kučInu	Ncfsa	kučina
.	Z	.

Ono	Pd-nsn	onaj
onOj	Pd-nsn	onaj
što	Pi3n	što
ostAne	Vmr3s	ostati
kao	Cs	kao
štIm	Vmr1s	štiti
onAk	Rgp	onako
onO	Pd-nsn	onaj
od	Sg	od
njeg	Pp3msa	on
predU	Vmr3p	presti
zo	Ncmpn	zo
zovAli	Vmp-pm	zovati
ga	Pp3msa	on
zagrEpke	Npfsg	zagrEpka
.	Z	.

od	Sg	od
njEga	Pp3msg	on
predU	Vmr3p	presti
predU	Vmr3p	presti
pa	Cc	pa
u	Sa	u
debElo	Rgp	debelo
pa	Cc	pa
.	Z	.

səs	Si	sa
tOj	Pd-nsn	taj
tkAju	Vmr3p	tkati
pokravIce	Ncfpn	pokravica
te	Cc	te
se	Px--sa	sebe
pokrivAli	Vmp-pm	pokrivati
ljUdi	Ncmpn	čovek
no	Cc	no
nEsu	Vmr3p	biti
se	Px--sa	sebe
pokrivAli	Vmp-pm	pokrivati
tƏd	Rgp	tad
səs	Si	sa
•	X	•
čaršAvi	Ncmpn	čaršav
səs	Si	sa
jorgAni	Ncmpn	jorgan
səs	Si	sa
.	Z	.

nEgo	Cc	nego
•••	X	•••
kOj	Pi-mpn	koji
po	Sl	po
imAl	Vmp-sm	imati
On	Pp3msn	on
ozdOl	Rgp	odozdo
vUnenku	Xf	vUnenku
pokravIču	Xf	pokravIču
ozgOre	Xf	ozgOre
tRtenu	Xf	tRtenu
.	Z	.

i	Cc	i
takOj	Rgp	tako
zamIne	Vmr3s	zaminuti
((laugh))	X	((laugh))
jAo	I	jao
bOže	Npmsv	bog
.	Z	.

svAšta	Pi3n-n	svašta
bilO	Vmp-sn	biti
lEle	I	lele
•	X	•
kəd	Px--sa	kəd
se	Px--sa	sebe
sEtim	Vmr1s	setiti
.	Z	.

što	Pi3n	što
prošlE	Agpfsgy	prošli
mlOgo	Pq-nsn	mlOgo
gOdine	Ncfpn	godina
što	Pi3n	što
svE	Pi-nsn	sav
prOšlo	Agpnsny	prošli
preko	Sg	preko
glAvu	Ncfsa	glava
••	X	••
pa	Cc	pa
Istina	Ncfsn	istina
.	Z	.

i	Cc	i
takO	Rgp	tako
e	Var3s	biti
bilO	Vcp-sn	biti
.	Z	.

mOglo	Vmp-sn	moći
kakvO	Pi-nsn	kakav
Oćeš	Var2s	hteti
.	Z	.

rEsto	Ncnsn	resto
se	Px--sa	sebe
farbAlo	Vmp-sn	farbati
i	Cc	i
za	Sa	za
pokrAvice	Npnsa	pokrAvice
kOj	Cs	kao
vOli	Vmr3s	voliti
zelenO	Rgp	zeleno
ali	Cc	ali
•	X	•
vArbe	Ncnsn	varbe
većInom	Rgp	većinom
.	Z	.

tOj	Pd-nsn	taj
fArbano	Appnsny	farbati
•	X	•
imAlo	Vmp-sn	imati
da	Cs	da
se	Pxsa	sebe
kUpi	Vmr3s	kupiti
po	Sl	po
••	X	••
duqanI	Agpmsny	duqani
ga	Pp3msa	on
zvAli	Vmp-pm	zvati
tagAj	Rgp	tada
.	Z	.

te	Pp2-sa	ti
.	Z	.

pa	Cc	pa
svAkakvo	Pi-nsn	svakakav
pa	Cc	pa
qilImi	Pi-nsn	qilImi
kƏd	Vmp-sm	kəti
se	Px--sa	sebe
tkAli	Vmp-pm	tkati
•	X	•
onOo	Pd-nsn	onaj
.	Z	.

tƏd	Rgp	tad
na	Sa	na
ljubičIce	Ncfpa	ljubičica
mOa	Ps1fsn	moja
mAti	Ncfsn	mati
tkAla	Vmp-sf	tkati
za	Sa	za
mEne	Ncfpa	mena
po	Sa	po
trI	Mlc	tri
pRsta	Ncmsg	prst
na	Sa	na
dən	Ncmsn	dan
izƏtka	Npfsn	izƏtka
sAmo	Rgp	samo
.	Z	.

svE	Pi-nsn	sav
s	Si	sa
pRsti	Ncmpn	prst
•	X	•
proz	Sa	kroz
onOj	Pd-nsa	onaj
promIca	Npfsn	promIca
.	Z	.

vƏzdan	Npmsn	vƏzdan
••	X	••
od	Sg	od
svAkakve	Pipn	svakakav
sOrte	Ncfpn	sorta
kao	Cs	kao
što	Cs	što
e	Var3s	biti
dAn	Ncmsn	dan
i	Cc	i
nOć	Ncfsa	noć
takvO	Pd-nsn	takav
.	Z	.

bOice	Npmpn	Boica
svAkakve	Pipn	svakakav
••	X	••
((?))	X	((?))
mAni	Vmm2s	manuti
mUka	Ncfsn	muka
bilO	Vcp-sn	biti
.	Z	.

pa	Cc	pa
nEkoja	Pisn	nekoji
Ima	Vmr3s	imati
devOjče	Ncnsn	devojče
posustAne	Vmr3s	posustati
tkAjeqi	Npmsn	tkAjeqi
eto	I	eto
.	Z	.

po	Sl	po
•	X	•
šEs	Mlc	šest
po	Sa	po
Osam	Mlc	osam
prekrivAča	Ncmpg	prekrivač
da	Cs	da
ti	Pp2-sd	ti
izƏtka	Agpfsny	izətki
mAti	Ncfsn	mati
tO	Pd-nsn	taj
e	Var3s	biti
mlOgo	Rgp	mnogo
bilO	Vmp-sn	biti
.	Z	.

da	Cs	da
•••	X	•••
nOsiš	Vmr2s	nositi
u	Sa	u
dAr	Ncmsan	dar
.	Z	.

dOjdu	Vmr3p	doći
mladožEnjini	Ncmpn	mladoženjin
pa	Cc	pa
natovAre	Vmr3p	natovariti
s	Sg	sa
kOla	Ncfpn	kola
pa	Cc	pa
presEle	Vmr3p	preseliti
.	Z	.

takOj	Rgp	tako
bilO	Vmp-sn	biti
.	Z	.

u	Sl	u
pa	Cc	pa
nosIlo	Vmp-sn	nositi
se	Px--sa	sebe
i	Cc	i
•••	X	•••
mOje	Ps1nsn	moj
bIle	Vmp-pf	biti
mAti	Ncfsn	mati
i	Cc	i
bAbe	Ncfpn	baba
izətkAle	Vmp-pf	izətkati
i	Cc	i
slAmarice	Ncfpn	slamarica
.	Z	.

Ono	Pd-nsa	onaj
ne	Qz	ne
bIlo	Vmp-sn	biti
dušEci	Ncmpn	dušek
•	X	•
napUni	Vmr3s	napuniti
se	Px--sa	sebe
sa	Si	sa
slAmu	Ncfsa	slama
••	X	••
i	Cc	i
.	Z	.

pRtene	Xf	pRtene
pokravič	Xf	pokravič
.	Z	.

prostOrčice	Rgp	prostorčice
smo	Var1p	biti
ga	Pp3msa	on
zvAli	Vmp-pm	zvati
za	Sa	za
ozdOle	Ncmsan	ozdole
za	Sa	za
da	Cs	da
slAmječu	Vmr3p	slamjecati
pa	Cc	pa
•	X	•
čaršAvi	Ncmpn	čaršav
pRteni	Vmp-pm	prteti
paa	Cc	pa
.	Z	.

Eto	I	eto
i	Cc	i
jAstuci	Ncmpn	jastuk
i	Cc	i
kUpeni	Vmr1s	kupenti
dObro	Rgp	dobro
jA	Pp1-sn	ja
səm	Var1s	biti
si	Px--sd	sebe
•	X	•
jA	Pp1-sn	ja
səm	Vcr1s	biti
pOsle	Rgp	posle
si	Px--sd	sebe
naučIla	Vmp-sf	naučiti
da	Cs	da
šUpkam	Qr	šUpkam
pa	Cc	pa
səm	Var1s	biti
imAla	Vmp-sf	imati
svE	Pi-nsn	sav
i	Cc	i
šUpkano	Vmp-sn	šupkati
.	Z	.

i	Cc	i
kƏd	Rgp	kəd
səm	Var1s	biti
bIla	Vcp-sf	biti
devOjče	Ncnsn	devojče
već	Rgp	već
jA	Pp1-sn	ja
sam	Var1s	biti
svE	Pi-nsa	sav
rabotIla	Vmp-sf	rabotati
i	Cc	i
na	Sa	na
mašInu	Ncfsa	mašina
mAti	Ncfsn	mati
me	Pp1-sa	ja
učIla	Vmp-sf	učiti
.	Z	.

i	Cc	i
jAstuci	Ncmpn	jastuk
šUpkavi	Ncmpn	šupkav
•	X	•
čaršAvi	Ncmpn	čaršav
•	X	•
jOrganski	Agpmsny	jorganski
Ova	Ncmsn	ova
gOre	Rgp	gore
pomAlo	Rgp	pomalo
šupkAvi	Mdc	šupkavi
.	Z	.

kOja	Pisn	koji
Ima	Vmr3s	imati
mašInu	Ncfsa	mašina
tEra	Vmr3s	terati
.	Z	.

udAr	Ncmsn	udar
••	X	••
tOj	Pd-nsn	taj
.	Z	.

drEje	Ncfpn	dreja
••	X	••
svAšta	Pi3n-n	svašta
svE	Pi-nsn	sav
napUne	Agpfpny	napun
kOla	Ncfpn	kola
•	X	•
pa	Cc	pa
ozgOr	Rgp	odozgo
prekrIju	Vmr3p	prekriti
vRžu	Ncmsan	vržu
i	Cc	i
otEru	Npmsl	otEr
.	Z	.

nAmeštaj	Ncmsn	nameštaj
mOj	Ps1msn	moj
si	Px--sd	sebe
tAta	Ncmsn	tata
bIl	Vmp-sm	biti
kupIl	Vmp-sm	kupiti
.	Z	.

brAčni	Agpmpny	bračni
krEveti	Ncmpn	krevet
pa	Cc	pa
•	X	•
šifonjEr	Npmsn	šifonjEr
pa	Cc	pa
astAlče	Ncfpn	astalča
pa	Cc	pa
stolIce	Ncfpn	stolica
svE	Pi-nsn	sav
tOj	Pd-nsn	taj
Išlo	Vmp-sn	ići
.	Z	.

kOla	Ncnpa	kola
se	Pxsa	sebe
natovAri	Vmr3s	natovariti
••	X	••
nEki	Pipn	neki
u	Sl	u
dvapu	Ncmsl	dvap
u	Sa	u
dvA	Mlc	dva
nEki	Pipn	neki
u	Sa	u
jednA	Mlcfsn	jedan
kOi	Pi3n-n	koji
kakvO	Pi-nsa	kakav
imAl	Vmp-sm	imati
•	X	•
rObu	Ncfsa	roba
.	Z	.

mIslim	Vmr1s	misliti
••	X	••
takO	Rgp	tako
e	Var3s	biti
bilO	Qo	bilo
.	Z	.

kƏd	Pi3n-n	kƏd
səm	Var1s	biti
jA	Pp1-sn	ja
bilA	Vcp-sf	biti
a	Cc	a
pOpre	Vcr2s	popbiti
jA	Pp1-sn	ja
bAš	Rgp	baš
i	Cc	i
nE	Qz	ne
znam	Vmr1s	znati
kakO	Cs	kako
e	Var3s	biti
bilO	Qo	bilo
tOlko	Rgp	toliko
kƏd	Cc	kƏd
sam	Var1s	biti
bilA	Vmp-sf	biti
bAš	Qo	baš
detE	Ncnsn	dete
.	Z	.

a	Cc	a
tOj	Pd-nsn	taj
e	I	e
pOsle	Rgp	posle
•	X	•
znAm	Vmr1s	znati
kƏd	Cs	kƏd
sam	Var1s	biti
jA	Pp1-sn	ja
bilA	Vmp-sf	biti
.	Z	.

pa	Cc	pa
devOjkini	Npmpn	devOjkin
ne	Qz	ne
•	X	•
sprEmaju	Vmr3p	spremati
.	Z	.

pa	Cc	pa
•	X	•
plEtene	Appfpny	plesti
čarApe	Ncfpn	čarapa
pa	Cc	pa
••	X	••
mUške	Agpfsgy	muški
zEnske	Agpfsgy	zenski
tOj	Pd-nsn	taj
plEteno	Appnsny	plesti
••	X	••
tkanIce	Ncfpa	tkanica
.	Z	.

onOj	Pd-nsn	onaj
kakO	Cs	kako
ga	Pp3msa	on
mOžda	Rgp	možda
nE	Qz	ne
znaš	Vmr2s	znati
kOe	Agpfpay	koi
tkAnice	Ncfpa	tkanica
pOjasi	Ncmpn	pojas
.	Z	.

pOjasi	Ncmpn	pojas
•	X	•
i	Cc	i
tO	Pd-nsn	taj
je	Var3s	biti
mAti	Ncfsn	mati
tkAla	Vmpf	tkati
lEle	I	lele
.	Z	.

Ono	Pd-nsn	onaj
odAvna	Rgp	odavno
bAš	Qo	baš
bilO	Vcp-sn	biti
šarenO	Agpnsny	šaren
svAkakvo	Pi-nsn	svakakav
a	Cc	a
mOa	Ps1fsn	moja
mAti	Ncfsn	mati
kəd	Var3s	kəd
tkAla	Vmp-sf	tkati
Ono	Pd-nsn	onaj
bIlo	Vmp-sn	biti
.	Z	.

Ona	Pp3fsn	on
činIla	Vmp-sf	činiti
brAon	Px--sa	brAon
činIla	Vmp-sf	činiti
zelenO	Rgp	zeleno
.	Z	.

crnO	Agpnsny	crn
•	X	•
pa	Cc	pa
s	Si	sa
se	Px--sa	sebe
tOj	Pd-nsn	taj
nekUde	Ncmsn	nekude
tAmo	Rgp	tamo
uvedE	Pi-nsn	uvedE
pa	Cc	pa
se	Px--sa	sebe
svE	Pi-nsn	sav
.	Z	.

tkAeno	Appnsny	tkaiti
u	Sl	u
vOlko	Rgp	ovoliko
•	X	•
tOlko	Cs	tOlko
tEsno	Agpnsny	tesan
brdEnce	Ncnsn	brdence
pa	Cc	pa
•	X	•
se	Px--sa	sebe
promIča	Vmp-sn	promiti
tOj	Pd-nsn	taj
.	Z	.

i	Cc	i
takOj	Rgp	tako
se	Px--sa	sebe
tkAlo	Vmp-sn	tkati
.	Z	.

i	Cc	i
tOj	Pd-nsn	taj
se	Px--sa	sebe
davAlo	Vmp-sn	davati
napOru	Ncmsd	napor
od	Sg	od
kojE	Pi-nsn	koji
onO	Pd-nsn	onaj
dadEš	Vmr2s	dati
tkanIce	Ncfpn	tkanica
.	Z	.

pRteno	Appnsny	prten
peškIrče	Qr	peškIrče
.	Z	.

rukavIce	Ncfpn	rukavica
se	Px--sa	sebe
plEle	Vmp-pf	plesti
•	X	•
za	Sa	za
pO	Sl	po
tugji	Ncfsl	tugja
.	Z	.

Edino	Npmsn	Edino
Eto	I	eto
naglAvci	Npmpn	naglAvac
((XXX))	X	((xxx))
Izvodak	Npmsn	Izvodak
.	Z	.

čarApe	Ncfpn	čarapa
pletene	Appfpny	plesti
na	Sa	na
•	X	•
šUpke	Ncmpa	šupak
.	Z	.

svAšta	Pi3n-n	svašta
se	Px--sa	sebe
tOj	Pd-nsn	taj
•	X	•
ne	Qz	ne
kUpeno	Appnsny	kupiti
se	Px--sa	sebe
davAlo	Vmp-sn	davati
nego	Cc	nego
Eto	I	eto
takvO	Pd-nsn	takav
si	Px--sd	sebe
•••	X	•••
rukotvOrine	Ncfpn	rukotvorina
.	Z	.

kOj*	Npmsn	kOj*
kakvO	Pi-nsn	kakav
urAdi	Vmr3s	uraditi
.	Z	.

sAmo	Rgp	samo
koštAlo	Vmp-sn	koštati
i	Cc	i
tOj	Pd-nsn	taj
sAmo	Rgp	samo
Eto	I	eto
tOj	Pd-nsn	taj
nEsmo	Var1p	biti
računAli	Vmp-pm	računati
što	Cs	što
smo	Var1p	biti
si	Px--sd	sebe
imAli	Vmp-pm	imati
od	Sg	od
svoE	Npfsg	svoE
.	Z	.

i	Cc	i
takO	Rgp	tako
e	Var3s	biti
bilO	Vcp-sn	biti
.	Z	.

peškirčIqi	Npmsn	peškirčIqi
pa	Cc	pa
i	Cc	i
kupuvAlo	Vmp-sn	kupuvati
se	Px--sa	sebe
kAsnije	Rgc	kasno
pOsle	Rgp	posle
kƏd	Mdc	kəd
səm	Var1s	biti
jA	Pp1-sn	ja
bilA	Vmp-sf	biti
no	Cc	no
se	Px--sa	sebe
većInom	Rgp	većinom
kupovAlo	Vmp-sn	kupovati
ali	Cc	ali
.	Z	.

kOj	Pi3m-n	koji
si	Px--sd	sebe
e	Var3s	biti
imAl	Vmp-sm	imati
izƏtkano	Vmp-sn	izətkati
od	Sg	od
pOpre	Npfsg	pOpra
.	Z	.

onO	Pd-nsn	onaj
se	Px--sa	sebe
od	Sg	od
njEga	Pp3msg	on
e	Var3s	biti
ovAk	Rgp	ovako
se	Px--sa	sebe
nasečU	Vmr3p	naseći
pa	Cc	pa
.	Z	.

se	Pxsa	sebe
porUbe	Vmr3p	porubiti
sa	Sg	sa
strAne	Ncfsg	strana
mAti	Npmsn	mAti
si	Px--sd	sebe
porUbeše	Ncfpn	porubeša
pa	Cc	pa
səm	Var1s	biti
na	Sa	na
ednO	Ncnsa	jedan
plEla	Vmp-sf	plesti
čIpčice	Ncfsa	čipčica
.	Z	.

detE	Ncnsn	dete
pa	Cc	pa
səm	Var1s	biti
se	Px--sa	sebe
Eto	I	eto
•••	X	•••
kUpi	Vmr3s	kupiti
mAti	Ncfsn	mati
konAc	Ncmsn	konac
pa	Cc	pa
.	Z	.

nEsmo	Var1p	biti
sedEli	Vmp-pm	sedeti
mI	Pp1-sd	ja
bagjAvi*	Px--sa	bagjAvi*
Ič	Rgp	ič
decA	Ncnpn	dete
nAročito	Rgp	naročito
devOjčići	Rr	devojti
•	X	•
mOraš	Vmr2s	morati
da	Cs	da
rAdiš	Vmr2s	raditi
.	Z	.

((XXX))	X	((xxx))
i	Cc	i
pOlje	Ncnsn	polje
u	Sa	u
svE	Pisa	sav
svE	Pi-nsn	sav
.	Z	.

i	Cc	i
takO	Rgp	tako
je	Var3s	biti
.	Z	.

pa	Cc	pa
•••	X	•••
pOsle	Rgp	posle
se	Px--sa	sebe
kupuvAla	Ncfpn	kupuvala
za	Sa	za
pamUčno	Rgp	pamučno
se	Pxsa	sebe
kupuvAla	Vcr3s	kupuvalbiti
dObro	Rgp	dobro
i	Cc	i
•	X	•
i	Cc	i
plEli	Vmp-pm	plesti
nEki	Pi-mpn	neki
.	Z	.

od	Sg	od
onOj	Pd-nsa	onaj
zvAlo	Vmp-sn	zvati
se	Px--sa	sebe
vUl	Vmp-pm	vti
••	X	••
tOj	Pd-nsn	taj
klUpče	Ncmsn	klupče
se	Px--sa	sebe
kUpi	Vmr3s	kupiti
e	I	e
vAko	Rgp	vako
.	Z	.

ali	Cc	ali
i	Cc	i
od	Sg	od
••	X	••
od	Sg	od
pRteno	Rgp	prteno
se	Px--sa	sebe
plElo	Vmp-sn	plesti
na	Sl	na
pRteno	Appnsny	prten
si	Px--sd	sebe
od	Sg	od
pRteno	Appnsny	prten
•	X	•
čIpke	Ncfpn	čipka
.	Z	.

se	Pxsa	sebe
ispletU	Vmr3p	isplesti
••	X	••
i	Cc	i
zašIju	Vmr3p	zašiti
se	Px--sa	sebe
i	Cc	i
.	Z	.

na	Sa	na
Izvod	Npmsay	Izvo
lEpo	Rgp	lepo
sve	Pi-nsn	sav
.	Z	.

takOj	Rgp	tako
ti	Pp2-sd	ti
e	Vcr3s	biti
tOj	Pd-nsn	taj
.	Z	.

pa	Cc	pa
svAkakvo	Pi-nsn	svakakav
i	Qo	i
na	Sa	na
rUže	Ncfpa	ruža
i	Cc	i
na	Sa	na
sečAnca	Npmsay	sečAnc
ovAk	Rgp	ovako
