desAnka	Npfsn	Desanka
kočIna	Npfsn	kočIna
znAeš	Vmr2s	znati
.	Z	.

pa	Cc	pa
napredEmo	Vmr1s	napresti
.	Z	.

kočIna	Npnsg	kočIno
.	Z	.

štO	Cs	što
si	Px--sd	sebe
s	Px--sa	sebe
kakO	Cs	kako
gRsnice	Ncfpn	grsnica
.	Z	.

pa	Cc	pa
bEremo	Vmr1p	brati
pa	Cc	pa
.	Z	.

na	Sa	na
.	Z	.

tekvO	Pd-nsn	takav
.	Z	.

trEmo	Ncfsv	trema
.	Z	.

trEa	Npmsn	trEa
se	Px--sa	sebe
naprAve	Vmr3p	napraviti
povEsmo	Ncnsa	povesmo
.	Z	.

pa	Cc	pa
kAd	Cs	kad
mI	Pp1-pn	ja
trEbu	Vmr3p	treti
kOnci	Ncmpn	konac
.	Z	.

mI	Pp1-pn	ja
Uzmemo	Vmr1p	uzeti
pa	Cc	pa
si	Px--sd	sebe
napredEmo	Vmr1p	napresti
tAnkO	Rgp	tanko
.	Z	.

odI	Sg	od
kučInate	Ncmpd	kučiam
da	Cs	da
se	Px--sa	sebe
.	Z	.

da	Cs	da
se	Pxsa	sebe
kRpimo	Vmr1p	krpiti
.	Z	.

sas	Si	sa
tIja	Pd-mpn	taj
kOnci	Ncmpn	konac
se	Px--sd	sebe
kRpimo	Vmr1p	krpiti
.	Z	.

tekvOj	Qr	tekvOj
.	Z	.

pa	Cc	pa
nEmamo	Vmr1p	imati
kacElje	Vmp-sm	kaceljti
.	Z	.

je	Var3s	biti
mI	Pp1-sd	ja
ga	Pp3msa	on
Okomo	Npnsn	Okomo
kacElje	Ncfpn	kacelja
.	Z	.

prestIrće	Qr	prestIrće
.	Z	.

ovAk	Rgp	ovako
.	Z	.

nEma	Vmr3s	imati
mI	Pp1-pn	ja
Uzmeno	Npmsn	Uzmeno
pa	Cc	pa
si	Px--sd	sebe
napredEmo	Vmr1p	napresti
.	Z	.

p	Cc	pa
za	Sa	za
Ubavo	Agpnsay	ubav
.	Z	.

nEmamo	Vmr1p	imati
nIkakvo	Pi-nsn	nikakav
t	X	t
kakvO	Pi-nsn	kakav
Ubavo	Agpnsny	ubav
.	Z	.

Uznjemo	Npmsn	Uznjemo
igljU	Npmsn	igljU
.	Z	.

su	Var3p	biti
mAlečku	Ncfpn	malečku
.	Z	.

pa	Cc	pa
si	Px--sd	sebe
ispletEmo	Vmr1p	isplesti
kacElju	Vmp-pm	kacelti
.	Z	.

d	Cc	da
Ovde	Rgp	ovde
tO	Pd-nsn	taj
so	Ncfsa	sol
vRžemo	Vmp-sn	vržeti
.	Z	.

zaa	Qr	zaa
.	Z	.

lepOtu	Ncfsa	lepota
.	Z	.

al	Cc	ali
On	Pp3msn	on
ne	Qz	ne
vAlja	Vmr3s	valjati
za	Sa	za
.	Z	.

nIkako	Rgp	nikako
a	Cc	a
mI	Pp1-pn	ja
pa	Cc	pa
#privrAzimo#	Vcp-sn	#privrazimti
.	Z	.

tekvOj	Qr	tekvOj
.	Z	.

tO	Pd-nsn	taj
je	Vcr3s	biti
ne/	X	ne/
.	Z	.

koćIna	Npmsn	Koćina
ta	Cs	da
.	Z	.

gr/	Npmsn	gr/
tO	Pd-nsn	taj
je	Var3s	biti
gRsnica	Npfsn	gRsnica
dOle	Rgp	dole
kakO	Cs	kako
tO	Pd-nsn	taj
vAga	Vmr3s	vagati
.	Z	.

pa	Cc	pa
ga	Pp3msa	on
vRžeš	Vmp-sm	vržeti
.	Z	.

ovAk	Rgp	ovako
na	Sa	na
povEsmo	Ncnsa	povesmo
.	Z	.

a	Cc	a
onO	Pd-nsn	onaj
dOlgo	Pi-nsn	dOlgo
.	Z	.

pa	Cc	pa
odnesEš	Vmr2s	odneti
u	Sl	u
rEku	Ncfsa	reka
.	Z	.

u	Sl	u
rEku	Ncfsa	reka
.	Z	.

u	Sl	u
vRžece	Ncfsl	vržeca
natovAriš	Vmr2s	natovariti
.	Z	.

pa	Cc	pa
s	Si	sa
ovrn/	Ncnsn	ovrn/
pa	Cc	pa
odnesEš	Vmr2s	odneti
je	Var3s	biti
u	Sl	u
rEku	Ncfsa	reka
.	Z	.

pa	Cc	pa
iskOpaš	Vmr2s	iskopati
s	Si	sa
matIku	Ncfsa	motika
.	Z	.

vOdu	Ncfsa	voda
.	Z	.

bObuk	Npmsn	bObuk
golEm	Agpmsnn	golem
vi/	Npmsn	vi/
vi	Pp2-pn	vi
.	Z	.

vIr	Ncmsn	vir
.	Z	.

onO	Pd-nsn	onaj
mI	Pp1-sd	ja
brEe	Px--sa	brEe
.	Z	.

kudE	Rgp	kuda
mi	Pp1-sd	ja
pAk	Rgp	ipak
zAguši	Vmr3s	zagušiti
.	Z	.

da	Cs	da
ne	Qz	ne
mOgne	Vmr3s	moći
da	Cs	da
#ve#	Qr	#ve#
.	Z	.

pa	Cc	pa
naprAvimo	Vmr1p	napraviti
vIr	Ncmsan	vir
golEm	Agpmsnn	golem
.	Z	.

i	Cc	i
jA	Pp1-sn	ja
s	Si	sa
.	Z	.

#evE	Xf	#evE
i#	Xf	i#
.	Z	.

pa	Cc	pa
Uzmemo	Vmr1p	uzeti
tEgaj	Rgp	tada
.	Z	.

pa	Cc	pa
natOpimo	Vmr1p	natopiti
gRsnicete	Vmp-sm	grsnicetti
.	Z	.

u	Sl	u
vOdu	Ncfsa	voda
.	Z	.

pa	Cc	pa
pUštimo	Vmr1p	puštiti
vOdutu	Ncfsa-t	voda
evE	I	evo
.	Z	.

pUštimo	Pd-fsa	pUštimo
vOdu	Ncfsa	voda
da	Cs	da
se	Px--sa	sebe
potOpe	Vmr3p	potopiti
onE	Pp3fpn	oni
.	Z	.

onE	Pd-fpn	onaj
gRsnice	Ncfpn	grsnica
.	Z	.

da	Cs	da
omEknu	Qr	omEknu
tO	Pdsa	taj
da	Cs	da
mOže	Vmr3s	moći
.	Z	.

pa	Cc	pa
sedU	Vmr3p	sedeti
nEdelju	Ncfsa	nedelja
li	Qq	li
.	Z	.

dvE	Mlcf-n	dva
li	Qq	li
je	Var3s	biti
bilO	Vcp-sn	biti
.	Z	.

u	Sl	u
vodUtu	Npmsl	vodUt
.	Z	.

pa	Cc	pa
poglEdujemo	Vcr3s	pogledujembiti
kAd	Cs	kad
.	Z	.

#vEste#	Npmsn	#vEste#
ne	Qz	ne
kisnUle	Vmp-pf	kisnuti
.	Z	.

dOm	Ncmsn	dom
.	Z	.

z	X	z
iz	Sg	iz
vodUtu	Ncfsa-t	voda
da	Cs	da
izvAdimo	Vmr1p	izvaditi
.	Z	.

pa	Cc	pa
izvAdimo	Vmr1p	izvaditi
iz	Sg	iz
vodUtu	Ncfsgnt	voda
.	Z	.

tEgaj	Rgp	tada
iz	Sg	iz
.	Z	.

tO	Pd-nsn	taj
.	Z	.

pa	Cc	pa
((?))	X	((?))
t/	X	t/
u	Sa	u
.	Z	.

u	Sl	u
rEku	Ncfsa	reka
tAm	Rgp	tamo
.	Z	.

i	Cc	i
prenesEmo	Vmr1p	preneti
tE	Pp2-sa	ti
i	Cc	i
opEremo	Vmr1p	oprati
.	Z	.

Odi	Sg	od
tUj	Rgp	tu
tInju	Npmsd	tInj
.	Z	.

štO	Pi3n	što
je	Var3s	biti
sedEla	Vmpf	sedeti
u	Sl	u
vodUtu	Npmsl	vodUt
onO	Pd-nsn	onaj
tinjAk	Npmsn	tinjAk
.	Z	.

pa	Cc	pa
.	Z	.

#izcAne#	Qr	#izcAne#
.	Z	.

pa	Cc	pa
si	Px--sd	sebe
predEmo	Vmr1p	presti
.	Z	.

tkAemo	Npmsn	tkAemo
.	Z	.

mI	Pp1-sd	ja
ga	Pp3msa	on
Okamo	Vmr1p	okati
postAva	Ncmsg	postav
onO	Pd-nsn	onaj
platnO	Agpnsny	platni
.	Z	.

kao	Cs	kao
platnO	Rgp	platno
.	Z	.

a	Cc	a
jww	Px--sa	jww
.	Z	.

sam	Var1s	biti
.	Z	.

tkAla	Vmp-sf	tkati
.	Z	.

tO	Pd-nsn	taj
nesAm	Var1s	biti
tOlko	Rgp	toliko
.	Z	.

a	Cc	a
pOsle	Rgp	posle
kad	Cs	kad
.	Z	.

se	Px--sa	sebe
oženI	Vmr3s	oženiti
.	Z	.

ja	Pp1-sn	ja
u	Sa	u
.	Z	.

oženIla	Vmp-sf	oženiti
sam	Var1s	biti
se	Px--sd	sebe
u	Sa	u
.	Z	.

mOra	Vmr3s	morati
da	Cs	da
predEm	Vmr1s	presti
.	Z	.

za	Sa	za
košUlje	Ncfpa	košulja
zaa	Ncmpg	za
.	Z	.

odI	Sg	od
tAj	Pdsn	taj
kočIna	Npfsn	kočIna
.	Z	.

onO	Pd-nsn	onaj
.	Z	.

štOn	Pp1-pn	štOn
smo	Var1p	biti
onO	Pd-nsa	onaj
topIli	Vmp-pm	topiti
u	Sa	u
vodUtu	Ncfsa-t	voda
onO	Pd-nsn	onaj
.	Z	.

ćisnUlo	Npmsn	ćisnUlo
pa	Cc	pa
.	Z	.

dobrO	Rgp	dobro
sAg	Rgp	sad
za	Sa	za
.	Z	.

pa	Cc	pa
isturImo	Vmr1p	isturiti
tA	Pd-fsn	taj
.	Z	.

i	Cc	i
sAne	Npfsg	Sana
.	Z	.

pa	Cc	pa
predEmo	Vmr1p	presti
.	Z	.

pa	Cc	pa
.	Z	.

tkAemo	Var1p	tkAemo
ovAk	Rgp	ovako
za	Sa	za
košUlje	Ncfpa	košulja
.	Z	.

al	Cc	ali
sa	Si	sa
svE	Agpmpay	sav
rukavE	Ncmpa	rukav
.	Z	.

izatkAemo	Npmsn	izatkAemo
.	Z	.

pa	Cc	pa
.	Z	.

kAd	Cs	kad
na	Sa	na
košUlje	Ncfpa	košulja
nOsimo	Vmr1p	nositi
.	Z	.

pRtene	Agpfpny	prten
.	Z	.

tOj	Pd-nsn	taj
vI	Pp2-pn	vi
ne	Qz	ne
i	Cc	i
znAte	Vmr2p	znati
.	Z	.

ne/	X	ne/
nEma	Vmr3s	imati
ni	Qo	ni
da	Cs	da
znAete	Pi-msn	znAete
vI	Pp2-pn	vi
.	Z	.

tO	Pd-nsn	taj
e	Var3s	biti
se	Px--sa	sebe
sEme	Vmp-sn	seti
i	Cc	i
zatrlO	Vmp-sn	zatreti
.	Z	.

kAko	Cs	kako
mI	Pp1-pn	ja
štO	Cs	što
smo	Var1p	biti
.	Z	.

stAri	Agpmsny	star
.	Z	.

prEli	Vmp-pm	presti
.	Z	.

a	Cc	a
?	Z	?
.	Z	.

paa	Cc	pa
.	Z	.

kAd	Cs	kad
Imaš	Vmr2s	imati
vIdelo	Vmp-sn	videti
.	Z	.

tI	Pp2-sd	ti
#zanOsi	Npmsn	#zanOsi
naOčale#	Npmsn	naOčale#
.	Z	.

kAd	Cs	kad
nEmaš	Vmr2s	imati
.	Z	.

kAd	Cs	kad
se	Px--sa	sebe
sTvni	Agpmsny	stvan
.	Z	.

lEgaj	I	lEgaj
u	Sa	u
tavnIcu	Npfsa	tavnIca
pa	Cc	pa
ž	Qr	ž
.	Z	.

ćUti	Vmr3s	ćutati
pa	Cc	pa
kAd	Cs	kad
sAvne	Ncfpn	savna
.	Z	.

tekA	Rgp	tako
.	Z	.

žIvot	Ncmsn	život
je	Var3s	biti
sIne	Ncmsv	sin
.	Z	.

zAtori	Ncmpn	zator
li	Qq	li
ga	Pp3msa	on
i	Cc	i
nEje	Npfsg	Neja
.	Z	.

prOmaja	Ncfsn	promaja
.	Z	.

pa	Cc	pa
da	Qr	da
.	Z	.

nEma	Vmr3s	imati
drUgo	Mlonsa	drugi
kvO	Pi-nsa	kvo
.	Z	.

nEkako	Rgp	nekako
ovdEka	Rgp	ovde
.	Z	.

tUriš	Vmr2s	turati
.	Z	.

mEtneš	Vmr2s	metnuti
u	Sa	u
takvO	Pd-nsa	takav
.	Z	.

kAd	Cs	kad
u	Sl	u
.	Z	.

da	Cs	da
se	Pxsa	sebe
opEre	Vmr3s	oprati
sAmo	Rgp	samo
čEkaš	Vmr2s	čekati
.	Z	.

na	Sa	na
gotOvo	Rgp	gotovo
.	Z	.

da	Cs	da
se	Px--sa	sebe
opEre	Vmr3s	oprati
.	Z	.

a	Cc	a
tegAj	Rgp	tada
.	Z	.

u	Sa	u
korIta	Ncnpa	korito
.	Z	.

pEremo	Vmr1p	prati
.	Z	.

pa	Cc	pa
na	Sa	na
kobIlku	Ncfsa	kobila
.	Z	.

tOj	Pd-nsn	taj
ne	Qz	ne
znAš	Vmr2s	znati
kobIlku	Ncfsa	kobila
?	Z	?
.	Z	.

tU	Rgp	tu
natUramo	Vmr1p	naturati
na	Sa	na
kobIlku	Ncfsa	kobila
premEnu	Npmsl	premEn
.	Z	.

#ka	Ncfsn	#ka
tO	Pd-nsn	taj
pEremo#	Pi-nsn	pEremo#
dOmu	Ncmsd	dom
žEžku	Npmsd	žEžko
.	Z	.

pa	Cc	pa
sapUn	Ncmsn	sapun
prAimo	Vmr1p	praviti
.	Z	.

od	Sg	od
i	Cc	i
.	Z	.

sOdu	Ncfsa	soda
tekOj	Rgp	tako
sOda	Ncfsn	soda
.	Z	.

sapUn	Ncmsn	sapun
.	Z	.

od	Sg	od
slanInu	Ncfsa	slanina
odpAdak	Qr	odpAdak
.	Z	.

kad	Cs	kad
kOljeu	Vcr3s	koljebiti
svInje	Ncfpa	svinja
.	Z	.

onO	Pd-nsn	onaj
mAsnoto	Rgp	masnoto
sabIramo	Vmr1p	sabirati
.	Z	.

pa	Cc	pa
tegA	Ncmsg	teg
jej	Vcp-sm	jeti
.	Z	.

naprAimo	Vmr1p	napraviti
sapUn	Ncmsn	sapun
.	Z	.

pa	Cc	pa
si	Px--sd	sebe
pEremo	Vmr1p	prati
košUlje	Ncfpa	košulja
s	Si	sa
njEj	Qr	njEj
.	Z	.

#tekA	I	#tekA
le	I	le
že#	Pd-nsn	že#
odAvna	Rgp	odavno
rabOtal	Vmp-sm	raboći
.	Z	.

e	I	e
.	Z	.

pa	Cc	pa
na	Sa	na
kobIlku	Ncfsa	kobila
.	Z	.

natUraš	Npmsn	natUraš
na	Sa	na
kobIlku	Ncfsa	kobila
.	Z	.

i	Cc	i
ovdE	Rgp	ovde
i	Cc	i
tAm	Rgp	tamo
.	Z	.

pa	Cc	pa
zamEtneš	Vmr2s	zametnuti
.	Z	.

na	Sa	na
rAmo	Ncnsa	rame
.	Z	.

pa	Cc	pa
vnOsiš	Npmsn	vnOsiš
je	Var3s	biti
u	Sl	u
rEku	Ncfsa	reka
tO	Pd-nsn	taj
opEreš	Vmr2s	oprati
.	Z	.

pa	Cc	pa
otUd	Rgp	otud
mOkro	Rgp	mokro
.	Z	.

donesEš	Vmr2s	doneti
.	Z	.

pa	Cc	pa
tegAj	Rgp	tada
.	Z	.

onIja	Pd-msan	onaj
vEš	Ncmsan	veš
.	Z	.

uzImaš	Vmr2s	uzimati
rastUraš	Vmr2s	rasturati
.	Z	.

a	Cc	a
sAg	Rgp	sad
.	Z	.

sAg	Rgp	sad
vI	Pp2-pn	vi
da	Cs	da
pojEte	Qr	pojEte
.	Z	.

da	Cs	da
#cavčitE#	Qr	#cavčitE#
.	Z	.

kAkav	Pqsn	kakav
je	Var3s	biti
sAg	Rgp	sad
žIvot	Ncmsn	život
.	Z	.

sAg	Rgp	sad
je	Var3s	biti
.	Z	.

a	Cc	a
odavnA	Rgp	odavno
.	Z	.

mnOgo	Rgp	mnogo
smo	Var1p	biti
Ovce	Ncfpn	ovca
čuvAli	Vmp-pm	čuvati
.	Z	.

i	Cc	i
psEta	Ncnsg	pseto
.	Z	.

psEta	Ncnsg	pseto
kAko	Cs	kako
ostAla	Vmp-sf	ostati
.	Z	.

a	Cc	a
Ovce	Ncfpn	ovca
.	Z	.

Ovce	Ncfpn	ovca
navRžeše	Npmsv	navRžeše
mOj	Ps1msn	moj
svEkar	Ncmsn	svekar
.	Z	.

tOlći	Qr	tOlći
.	Z	.

klepetarI	Qr	klepetarI
.	Z	.

kakO	Cs	kako
gRnci	Npmpn	gRnac
.	Z	.

znaeš	Vmr2s	znati
li	Qq	li
kvO	Pr-nsn	kvo
je	Var3s	biti
gRne	Npnsn	gRne
?	Z	?
.	Z	.

pa	Cc	pa
jA	Pp1-sn	ja
zatOj	Rgp	zato
evE	I	evo
ti	Pp2-sd	ti
objAsnim	Vmr1s	objasniti
.	Z	.

ako	Cs	ako
ne	Qz	ne
znAeš	Vmr2s	znati
.	Z	.

pa	Cc	pa
gRnci	Qr	gRnci
.	Z	.

pa	Cc	pa
u	Sa	u
gRne	Ncnsa	grne
tovAriš	Vmr2s	tovariti
i	Cc	i
#Ariju#	Qr	#Ariju#
.	Z	.

tUriš	Vmr2s	turati
je	Var3s	biti
.	Z	.

uz	Sa	uz
ov	Pd-msn	ovaj
nakladEš	Agpmsny	naklade
Oganj	Ncmsn	oganj
.	Z	.

pa	Cc	pa
natUraš	Qo	natUraš
u	Sa	u
vasUlj	Npmsan	vasUlj
.	Z	.

u	Sa	u
tO	Pd-nsa	taj
Onu	Npmsl	On
nAjblagu	Npmsl	nAjblag
.	Z	.

uzemljEnu	Appfsay	uzemljiti
.	Z	.

na	Sa	na
ovO	Pd-nsa	ovaj
gRvne	Qr	gRvne
.	Z	.

pa	Cc	pa
si	Px--sd	sebe
svArimo	Vmr1p	svariti
vasUlj	Ncfpa	vasula
paa	Cc	pa
.	Z	.

kAd	Cs	kad
se	Px--sa	sebe
svAri	Vmr3s	svariti
u	Sa	u
#gOtvima#	Npmsan	#gOtvima#
pojedEm	Vmr1s	pojesti
.	Z	.

onAj	Pd-msn	onaj
slAtak	Ncmsn	slatak
vasUlj	Vmr3s	vasuluti
sIne	Ncmsv	sin
.	Z	.

nEgo	Cs	nego
sAg	Cs	sAg
štO	Cs	što
vArimo	Vmr1p	variti
mI	Pp1-pn	ja
.	Z	.

uz	Sa	uz
.	Z	.

uz	Sa	uz
sAg	Rgp	sad
.	Z	.

kakO	Cs	kako
li	Qq	li
?	Z	?
.	Z	.

te	Cc	te
kakO	Cs	kako
sam	Var1s	biti
znALa	Vmp-sf	znati
.	Z	.

kad	Cs	kad
sam	Var1s	biti
se	Px--sa	sebe
oženIla	Vmp-sf	oženiti
.	Z	.

kad	Cs	kad
sam	Var1s	biti
otišlA	Vmp-sf	otići
go/	Vmp-sf	gti
.	Z	.

gOre	Rgp	gore
za	Sa	za
.	Z	.

čm	Aspfsny	čm
mUža	Ncmsay	muž
.	Z	.

((laugh))	X	((laugh))
.	Z	.

onO	Pd-nsn	onaj
svEkar	Ncmsn	svekar
.	Z	.

svekRvu	Ncfsa	svekrva
nesAm	Var1s	biti
imAla	Vmp-sf	imati
.	Z	.

svEkar	Ncmsn	svekar
.	Z	.

ajd	I	hajde
kAda	Rgp	kada
od	Sg	od
tU	Rgp	tu
gOre	Rgp	gore
.	Z	.

kAd	Cs	kad
me	Pp1-sa	ja
odvEdoše	Vma3p	odvesti
.	Z	.

a	Cc	a
t	X	t
kvO	Pi-nsn	kvo
će	Var3s	hteti
da	Cs	da
mi	Pp1-sd	ja
oprOsti	Vmr3s	oprostiti
.	Z	.

svEkar	Ncmsn	svekar
.	Z	.

da	Cs	da
mI	Pp1-sd	ja
oprOsti	Vmr3s	oprostiti
.	Z	.

a	Cc	a
t	X	t
kakvO	Pi-nsn	kakav
će	Var3s	hteti
hAjde	I	hajde
.	Z	.

On	Pp3msn	on
mi	Pp1-sd	ja
Ooprosti	Npfsn	Ooprosti
Areza	Npfsn	Areza
mi	Pp1-pn	ja
.	Z	.

ovcU	Ncfsa	ovca
.	Z	.

a	Cc	a
.	Z	.

tOj	Pd-nsn	taj
svEkar	Ncmsn	svekar
mi	Pp1-sd	ja
.	Z	.

arEza	Vcr3s	arezbiti
tOj	Pd-nsn	taj
.	Z	.

kWd	Ncmsn	kwd
mi	Pp1-sd	ja
Areže	Px--sa	Areže
.	Z	.

svEkar	Ncmsn	svekar
znAe	Vmr3s	znati
štO	Cs	što
je	Var3s	biti
tO	Pdsn	taj
.	Z	.

tvOje	Npnsn	tvOje
.	Z	.

On	Pp3msn	on
Areza	Npfsn	Areza
ovcU	Ncfsa	ovca
onAm	Rgp	onamo
.	Z	.

blIzni	Ncmpn	blizn
kAd	Cs	kad
se	Px--sa	sebe
jagnjIva	Ncnsn	jagnjiva
onA	Pp3fsn	on
blIzni	Px--sd	blIzni
tA	Cs	da
dvE	Mlcf-n	dva
.	Z	.

evE	I	evo
.	Z	.

i	Cc	i
tO	Pdsn	taj
je	Var3s	biti
mOja	Ps1fsn	moj
ovcA	Ncfsn	ovca
bilA	Vapf	biti
tekA	Rgp	tako
.	Z	.

sam	Var1s	biti
nastupIla	Vmp-sf	nastupiti
.	Z	.

a	Cc	a
bAška	Cs	bAška
štO	Cs	što
smo	Var1p	biti
mI	Pp1-pn	ja
čuvAli	Vmp-pm	čuvati
.	Z	.

kAd	Cs	kad
jE	Var3s	biti
onA	Pp3fsn	on
otO	Pi3n-a	otO
.	Z	.

onO	Pd-nsn	onaj
.	Z	.

ne	Qz	ne
znAm	Vmr1s	znati
kOlko	Pq-nsn	koliki
bEjaše	Qr	bEjaše
.	Z	.

stO	Mlc	sto
ali	Cc	ali
.	Z	.

kakO	Cs	kako
li	Pp3fsa	li
je	Var3s	biti
.	Z	.

mnOgo	Rgp	mnogo
smo	Var1p	biti
ih	Pp3a	oni
čuvAli	Vmp-pm	čuvati
.	Z	.

pa	Cc	pa
kozE	Ncfpn	koza
znAeš	Vmr2s	znati
li	Qq	li
štO	Cs	što
su	Var3p	biti
kOze	Ncfpn	koza
bilE	Vmp-pf	biti
?	Z	?
.	Z	.

((laugh))	X	((laugh))
.	Z	.

jao	I	jao
.	Z	.

pa	Cc	pa
kozE	Ncfpa	koza
smo	Var1p	biti
čuvAli	Vmp-pm	čuvati
.	Z	.

pa	Cc	pa
jednU	Mlcfsa	jedan
Okomo	Vmp-sm	okomti
.	Z	.

grAnjoša	Qr	grAnjoša
.	Z	.

a	Cc	a
jednA	Mlcfsn	jedan
Okomo	Npmsn	Okomo
.	Z	.

sRpoše	Qr	sRpoše
.	Z	.

tekvO	Pd-nsn	takav
je	Var3s	biti
s/	X	s/
tekvOj	Npmpn	tekvO
su	Var3p	biti
.	Z	.

((cough))	X	((cough))
.	Z	.

kogA	Pi3m	tko
sam	Var1s	biti
poštuvAla	Vmp-sf	poštuvati
.	Z	.

onO	Pd-nsn	onaj
sAmo	Rgp	samo
jedAn	Mlcmsn	jedan
svEkar	Ncmsn	svekar
.	Z	.

i	Cc	i
jetRvu	Ncfsa	jetrva
sam	Var1s	biti
imAla	Vmp-sf	imati
.	Z	.

onA	Pp3fsn	on
je	Var3s	biti
bilA	Vapf	biti
dOm	Ncmsan	dom
.	Z	.

s	Sg	sa
njU	Pp3fsa	on
smo	Var1p	biti
se	Px--sa	sebe
raspraljAle	Vmp-pm	raspraljati
.	Z	.

pa	Cc	pa
se	Px--sa	sebe
posvađAmo	Vmr1p	posvađati
jedAn	Mlcmsn	jedan
pUt	Ncmsn	put
.	Z	.

onA	Pp3fsn	on
•	X	•
detE	Ncnsn	dete
.	Z	.

očuvAla	Vmp-sf	očuvati
jOš	Rgp	još
jA	Pp1-sn	ja
nesAm	Var1s	biti
.	Z	.

došlA	Vmp-sf	doći
.	Z	.

pa	Cc	pa
ovOm	Pdsi	ovaj
golEm	Agpmsnn	golem
šAkaj	Ncmsn	šakaj
porasAl	Ncmsn	porasal
golEm	Agpmsnn	golem
šAk	Npmsn	šAk
.	Z	.

a	Cc	a
jA	Pp1-sn	ja
pOsle	Rgp	posle
kAd	Cs	kad
.	Z	.

rOdim	Vmr1s	roditi
mIlivoja	Npmsg	Milivoje
.	Z	.

mOje	Ps1nsn	moj
ovO	Pd-nsn	ovaj
detE	Ncnsn	dete
.	Z	.

sIna	Ncmsay	sin
.	Z	.

njEga	Pp3msa	on
.	Z	.

i	Cc	i
sAmo	Rgp	samo
njEg	Pp3msa	on
sam	Var1s	biti
čuvAla	Vmp-sf	čuvati
.	Z	.

kvO	Pi3n-n	kvo
će	Var3s	hteti
mi	Pp1-sd	ja
đAvol	Ncmsn	đavo
.	Z	.

decA	Ncnpn	dete
pOviše	Rgc	mnogo
.	Z	.

da	Cs	da
#mgu/	Qr	#mgu/
da	Cs	da
((?))	X	((?))
devEri#	Npmsn	devEri#
s	Si	sa
dvE	Mlcf-n	dva
.	Z	.

jednO	Mlcnsn	jedan
je	Var3s	biti
pa	Cc	pa
dOsta	Rgp	dosta
kakvO	Pi-nsn	kakav
.	Z	.

i	Cc	i
nesAm	Var1s	biti
si	Px--sd	sebe
ni	Qz	ni
čuvAla	Vmp-sf	čuvati
vIše	Rgc	mnogo
.	Z	.

tekvOj	Qr	tekvOj
.	Z	.

i	Cc	i
kvO	Pi3n-n	kvo
ćeš	Var2s	hteti
sas	Si	sa
jEtrvu	Ncfsa	jetrva
se	Pxsa	sebe
posvađAmo	Vmr1p	posvađati
jedAn	Mlcmsn	jedan
pUt	Ncmsn	put
.	Z	.

onO	Pd-nsa	onaj
njUjnjo	Agpnsny	njujnji
detE	Ncnsn	dete
.	Z	.

pOstaro	Rgp	postaro
mOje	Ps1nsn	moj
tO	Pd-nsn	taj
mAlečko	Pi-nsn	mAlečko
joj	Pp3fsd	on
.	Z	.

onO	Pd-nsn	onaj
uzElo	Vmp-sn	uzeti
klEćicu	Px--sa	klEćicu
.	Z	.

pa	Cc	pa
mU	Pp3msd	on
vRčka	Vmr3s	vrčkati
u	Sa	u
Oči	Ncnpn	oko
.	Z	.

evE	I	evo
a	Cc	a
onO	Pd-nsn	onaj
decA	Ncnpn	dete
.	Z	.

Igru	Ncfsa	igra
se	Px--sa	sebe
.	Z	.

a	Cc	a
jA	Pp1-sn	ja
se	Px--sd	sebe
z/	X	z/
zakarA	I	zakarA
.	Z	.

pa	Cc	pa
rekO	Vma1s	reći
#Ovw#	Sa	#Ovw#
štO	Pq-nsn	što
nn	Vmp-pm	nn
.	Z	.

ne	Qz	ne
sabrAneš	Pi3n-n	sabrAneš
dAve	Vmr3p	daviti
.	Z	.

jA	Pp1-sn	ja
u	Sa	u
tegA	Npmsay	teg
Okwm	Npmsay	Okw
depOtra	Npmsay	depOtr
.	Z	.

sabrAnićemo	Npmsn	sabrAnićemo
mu	Pp3msd	on
izvRčka	Agpnpny	izvrčki
Oči	Ncnpn	oko
.	Z	.

evE	I	evo
.	Z	.

tUj	Rgp	tu
se	Px--sa	sebe
posvađAmo	Vmr1p	posvađati
s	Si	sa
nju	Pp3fsa	on
zbOg	Sg	zbog
.	Z	.

zbOg	Sg	zbog
decA	Ncnpn	dete
.	Z	.

i	Cc	i
nesmO	Var1p	biti
se	Px--sa	sebe
vIše	Rgc	mnogo
svađAle	Vmp-pf	svađati
.	Z	.

i	Cc	i
#mAnište	Pp1-pn	#mAnište
godžA#	Rgp	godža#
smo	Var1p	biti
imAli	Vmp-pm	imati
.	Z	.

radEli	Vmp-pm	radeti
smo	Var1p	biti
.	Z	.

pa	Cc	pa
sabEre	Vmr3s	sabrati
#Ooja#	Npmsn	#Ooja#
.	Z	.

#setvarE#	Qr	#setvarE#
.	Z	.

znAeš	Vmr2s	znati
štO	Cs	što
